item	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	20	21	22	23	24	25	26	27	28	29	30
60	3	4.5			3.5		3	3.5		4	3	2	4	3	4			4		5		3	5	3	5		4	2	4
61	4	4.5			4		3	5		4	3.5	3	4	3	2			4		5		5	5	2	5		5	2	5
62	4	4.5	3.5		4	4	4	4		4	5	3	5	3	4			4		5		5	5	4	5		4	2	4
63	4	5	5	2		3.5		2	2		2	5	3			3	3.5	3.5		4	3.5		5	2	4		3	4	3
64	4	5	4.5		5	4	4.5	2		4.5		5	5	5	2	4	4	5	4.5	4	3		5	3.5	5	2		5	5
65	4	5	5		5	4.5	4.5	3.5	4	4	4.5		4	5	4	5		5	4	3		4	5		5	2.5		5	5
66			5				5	3	5	5				4	5			5	3				5		5	4			5
67	5		4		3.5	4		3		3.5	2.5		5	3	3	3		4	4.5	5	3.5	4	5	4	5	3	4	5	5
68																							4		3				
69								2		4		3											3			5		3	
70		3.5						2						2	3			3.5	3				5		3	2	3	3	
71	3	4	3.5				3	2	4	3	4	3	2		3			3	2.5		2	4	5		2	5		3	4
72	4	4	5	3	4	4.5	5	5		5	4.5	5	5	5	5	4		5	5	3	3	5	5	5	5		3	5	5
73	4	4	5	4	4	5	5	5		5	5	5	5	5	5	4		5	5	3	3	5	5	5	5		3	5	5
74	4	5					4	3			4	4	4	3	5	3		5		4	4		5	3	4			4	4
75	3	5	4	5	3	4.5	4	3.5	5	4	5	5	5	5	3	5		5	3	4	4.5	5	5	2	3	2.5		5	5
76	3	4	3		3		3	3	4	2					3		3	2	2.5	3	2	2	5	2	2				4
77	4	5				5	3.5							3		2		5					5			4		5	5
78	3	5			3.5	3.5		3	2	3	2.5		4		3	3	4	4	4	4	4.5	5	5		5	4.5	3	5	5
79	3	4										3		5		3		4.5					3		4		3	5	4
80	4	5	3		4			4		3.5		4			5		3		3.5	3	3.5		5		2	3.5		5	5
81	3		2			2.5		4	5		3.5	5	3		3	3	3	4			3	4	5		3	3.5	4		2
82	4	5	3		4.5			3		3		5	4	3		2		4	5	4			5	2	5	2		3	4
83								3			2			2									5						
84	4	5	3		4.5			4		2		3	4	3		3		3.5	5	4			4		5			3	4
85	4	5	4.5			5		4		4				2	4			4	4.5				5	3.5	3				5
86	4						4							4									3		5	4			
87		4.5				2		3		4	3.5	5	3	4				4	2.5	3	2		4	2	5	4		3	
88	4	5	4	4	4	3.5	3	4	3	5	4.5	5	4	3	3	4	4.5	4.5	3	4	3.5	4	5	3	4	3	4	4	3
89	4					2		3				3	3	3	3			3.5	3			3	5	2	3		4	4	
90									5				2	3					4	3			4	3	3	3.5			
91														3									3		2	2			
92		5				3.5		5		3.5				3		5							4	3	4	3.5			
93												3		4				4					4			4			
94	4	3.5		3			4							4				4	3.5				3		4				
95	4	5	4	3	3	3.5	3	4		4	3.5	4	4	2	5	4	5	3	2	3	3	3	4	2	4	3	5	5	3
96	4							4						2				3					4		5	3		3	
97	3	5		4	2.5	3	4	4						3	4	3		5					5		5	2		4	4
98	3						3.5							3									4			4			3
99						3.5	3.5	2	5				2	5				4	3.5				5	3		2.5	4	3	2
100	3						4.5					3		4	5			4					3	4	4	2		4	
101	3.5											5		2									3						3
102	4							3				5	3	4			4	4	2	3	2		5	2	5	3		3	
103	4	3	4		4	3.5	4	3		5	3.5	5	5	5	5	3	5	5	2.5	3		5	5	4	5			5	4
104	4													4									5					5	
105	2	5	3		3.5			3.5	3	4				4			2	4		2	5	5	5	5	4	4.5	4	5	5
106	4								5	5				5									3						
107				4								2		4									4					5	
108	3	4.5				4	4	3					4	4	5	4		4.5	3		3		5	4	3	3	3	5	5
109	4					2		3	3		4	3	4	3	5			4		2	2	3	5		5	3.5		3	
110	3	5				3		3	4	3.5	2	4		5	4		4	4	3.5	4	3		5	3.5	5	3.5	4	5	
111				5					3	2.5	3	5		2			2.5		2.5				4		3	3.5	5	5	
