item	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	20	21	22	23	24	25	26	27	28	29	30
61	4	4.5	1		4	1	3			4	3.5	3	4	3	2	1		4	1	5		5		2	5	1	5	2	5
62	4	4.5	3.5		4	4	4	4		4		3	5	3				4	1.5	5		5		4	5	1	4		4
63	4		5	2		3.5			2	1	2					3	3.5	3.5		4	3.5		5	2	4	1	3	4	
64	4	5	4.5		5	4		2		4.5		5	5	5	2		4	5	4.5	4	3		5	3.5	5			5	
65	4	5			5	4.5	4.5	3.5	4	4						5		5	4	3		4	5		5			5	5
66			5				5	3	5	5				4					3				5		5	4			5
67	5							3	1	3.5	2.5			3	3	3	3.4	4	4.5	5	3.5	4	5		5			5	5
68						1																	4		3				
69								2	1	4											1		3	1				3	
70								2					1	2	3			3.5	3		1			1	3	2	3	3	
71	3	4	3.5			1	3	2	4	3	4	3	2		3		3.2							1	2			3	4
72	4		5	3		4.5				5	4.5		5	5		4		5	5	3	3			5	5	1	3	5	5
73	4	4	5	4	4	5	5	5		5	5	5	5		5			5			3	5			5	1	3	5	5
74	4	5					4	3			4	4		3	5	3				4	4		5	3				4	4
75	3	5		5	3	4.5	4	3.5	5	4	5		5	5				5	3	4	4.5	5	5	2		2.5			
76		4	3		3	1	3	3	4	2			1		3	1	3	2	2.5		2	2		2	2	1.5		1	4
77	4					5	3.5		1					3		2							5			4		5	5
78	3	5	1.5		3.5	3.5				3	2.5					3	4		4	4	4.5	5	5	1	5	4.5	3	5	5
79	3	4										3		5		3		4.5					3				3	5	4
80	4	5	3		4			4		3.5		4			5		3		3.5	3	3.5				2				5
81						2.5		4	5		3.5	5	3		3	3	3				3	4	5	1	3	3.5	4		
82	4	5	3		4.5			3	1	3		5				2			5	4			5	2		2		3	4
83								3			2			2															
84		5	3		4.5			4		2		3	4	3		3		3.5	5	4			4	1	5	1		3	
85	4	5	4.5			5		4		4				2	4			4	4.5				5	3.5	3	1			5
86	4													4									3		5	4			
87		4.5						3		4	3.5		3	4				4	2.5	3			4	2	5	4		3	
88	4	5	4	4	4	3.5	3	4	3	5	4.5		4	3	3	4	4.5	4.5	3	4	3.5		5	3			4		
89		1.5				2		3				3		3	3			3.5	3			3		2			4	4	
90								1	5				2	3					4	3			4			3.5			
91																							3						
92		5				3.5				3.5						5							4	3		3.5			
93									1			3		4				4					4			4			
94				3			4		1					4				4	3.5				3		4				
95	4	5		3	3	3.5	3	4	1	4	3.5	4	4	2	5	4		3	2	3	3	3	4		4	3			3
96														2				3					4		5	3		3	
97	3	5				3									4	3							5		5	2			4
98							3.5																4			4			3
99						3.5	3.5	2	5				2	5				4	3.5				5	3		2.5	4	3	2
100	3						4.5					3		4	5			4					3	4	4	2		4	
101	3.5											5		2									3			1.5			3
102								3				5	3				4	4	2		2		5	2	5	3		3	
103	4	3	4		4			3		5	3.5	5		5		3		5	2.5	3	1	5		4	5	1		5	4
104	4																						5						
105	2	5	3		3.5	1		3.5	3	4	1		1	4	1	1	2	4		2		5	5	5	4	4.5	4		5
106						1			5	5				5							1		3						
107												2		4	1						1			1		1		5	
108	3	4.5				4	4	3	1				4	4	5	4		4.5	3		3		5	4	3	3	3	5	5
109	4					2			3		4		4	3				4		2	2					3.5			
110	3	5						3	4			4		5				4	3.5		3		5	3.5	5	3.5		5	
111				5				1		2.5	3	5		2			2.5		2.5				4		3	3.5	5	5	
112	3.5							2		3.5			3	4		2		4	3	3			5	2	5			4	
113		5	2			1			5	4	1				1		1	3.5		2	1		4	1	4		4	5	1
114	3	5							2		2			1				3.5					4	1		2		3	4
115	3			3				2.5				5		5		4			3	4		3		3	4			5	
116	3	5							4		3		3	4	3			4			2		5		4	1		4	4
117						1		3		3				1					2	1	2		5		3		4	4	
118	4	5			5	3.5	4	3			3	2	4		4		3	4	4.5		1	5	5	4		4			3
119	3		4.5		4.5	5		4		5	3.5	5	5	5	5		5	5	3.5	3			5	4	5	1	3		4
120					1					3.5						3		4		4			3						1
121		4.5	3.5	5	4.5	3.5		3	4	4.5	4.5	5	5	5	3		3.5	4	4	3	3.5	5	5			2.5	5	5	4
122		5				2						5		4				3.5	4.5				5		5	2		3	3
123	3												4					4		2			5	1	5	3			
124	4	5	1	4	4	1	3		5	2.5	4	5	5		4	3	3.6	4.5	3	5	1	3		2	5	4			
125	5		5		5	5	4.5	3	5		4	5	5	4	5	2		5	5	5			5		5	1	4		4
126			3.5		4.5		4.5	3			4.5	5	5	4		4	4		5	2		4	5		5	1	3		3
127	2.5					2			1					3			2				1.5		5						
128	4	4	3.5			5	4.5	3		4	3.5	5	5	4	4		5		4.5	2		4	5	1	4	5	4	5	
129	4	4.5	2.5	5		3.5	3.5		2						4			5	4.5		4		5		2	5		5	4
130	4	5	4.5	5	4	4		5	4	4.5			5	3		4	3.8			4	5	3	5	5	4	2			
131			4	5						4		2			4					4			5				5	5	
