#ip	system	qid	count
150.244.199.72	bing	88	0
150.244.199.182	bing	90	0
95.127.170.164	bing	95	0
176.83.89.89	google+bing	98	0
150.244.199.162	ask	102	0
150.244.199.32	bing	104	0
95.127.170.164	google	106	0
150.244.199.32	bing	108	0
37.10.149.120	google	110	0
150.244.199.32	ask	111	0
150.244.199.236	bing	112	0
150.244.199.32	google	116	0
150.244.199.162	bing	118	0
150.244.199.133	bing	121	0
150.244.199.163	bing	123	0
150.244.199.32	bing	127	0
150.244.199.137	bing	128	0
150.244.199.119	bing	132	0
150.244.199.164	google	134	0
150.244.199.97	bing	142	0
150.244.199.162	bing	143	0
150.244.199.154	bing	146	0
150.244.199.162	bing	148	0
150.244.199.164	ask	150	0
150.244.199.162	bing	151	0
150.244.199.162	google	152	0
176.83.89.89	bing	154	0
150.244.199.162	duckduckgo	157	0
176.83.89.89	duckduckgo	158	0
150.244.199.137	bing	159	0
150.244.199.158	duckduckgo	160	0
150.244.199.103	bing	161	0
150.244.199.137	ask	163	0
150.244.199.56	bing	164	0
37.10.149.120	bing	165	0
150.244.199.164	google	166	0
150.244.199.239	bing	170	0
150.244.199.162	duckduckgo	171	0
150.244.199.72	bing	172	0
150.244.199.236	google	178	0
150.244.199.164	ask	180	0
150.244.199.164	google	189	0
150.244.199.144	bing	190	0
150.244.199.164	bing	197	0
95.127.170.164	ask	198	0
150.244.199.164	google+bing	200	0
150.244.199.158	bing	204	0
150.244.199.158	ask	206	0
150.244.199.144	bing	207	0
150.244.199.158	ask	211	0
150.244.199.164	ask	214	0
150.244.199.236	bing	216	0
150.244.199.154	bing	220	0
150.244.199.164	google	223	0
150.244.199.154	duckduckgo	224	0
195.135.248.133	bing	227	0
150.244.199.243	bing	231	0
150.244.199.144	google+bing	233	0
150.244.199.121	bing	235	0
150.244.199.239	bing	237	0
150.244.199.97	bing	244	0
150.244.199.32	google+bing	249	0
150.244.199.32	google	251	0
150.244.199.103	google	254	0
150.244.199.164	duckduckgo	257	0
150.244.199.133	bing	258	0
150.244.199.99	google+bing	261	0
150.244.199.164	google+bing	264	0
150.244.199.97	google+bing	266	0
176.83.89.89	bing	274	0
176.83.89.89	bing	275	0
150.244.199.164	google	276	0
176.83.89.89	bing	278	0
150.244.199.72	duckduckgo	281	0
150.244.199.97	duckduckgo	285	0
150.244.199.239	bing	286	0
150.244.199.164	duckduckgo	288	0
95.127.170.164	ask	290	0
150.244.199.239	duckduckgo	291	0
150.244.199.158	bing	293	0
150.244.199.158	bing	294	0
150.244.199.192	duckduckgo	296	0
150.244.199.239	ask	298	0
150.244.199.137	bing	300	0
150.244.199.119	google	305	0
150.244.199.56	bing	310	0
150.244.199.10	bing	311	0
150.244.199.239	bing	312	0
150.244.199.56	bing	313	0
150.244.199.100	ask	318	0
150.244.199.164	ask	319	0
150.244.199.162	bing	321	0
150.244.199.10	bing	322	0
150.244.199.10	bing	324	0
150.244.199.99	google	327	0
150.244.199.164	bing	328	0
150.244.199.162	bing	330	0
150.244.199.158	google+bing	333	0
150.244.199.243	duckduckgo	335	0
95.127.170.164	google	338	0
150.244.199.162	google	339	0
150.244.199.103	bing	344	0
150.244.199.162	ask	346	0
95.127.170.164	google+bing	347	0
150.244.199.103	duckduckgo	348	0
150.244.199.162	google	351	0
150.244.199.103	bing	356	0
150.244.199.103	duckduckgo	357	0
150.244.199.162	bing	362	0
150.244.199.103	ask	363	0
150.244.199.103	google	366	0
95.127.170.164	bing	367	0
95.127.170.164	ask	375	0
150.244.199.119	bing	380	0
150.244.199.100	google+bing	384	0
150.244.199.103	google+bing	386	0
150.244.199.162	bing	387	0
150.244.199.236	ask	389	0
150.244.199.239	bing	393	0
150.244.199.121	bing	396	0
150.244.199.236	google	401	0
150.244.199.239	bing	402	0
150.244.199.239	google+bing	403	0
150.244.199.103	google	404	0
150.244.199.243	ask	405	0
150.244.199.158	ask	406	0
150.244.199.10	ask	410	0
150.244.199.56	bing	413	0
150.244.199.10	bing	417	0
150.244.199.162	bing	418	0
150.244.199.243	google	424	0
150.244.199.137	ask	425	0
150.244.199.10	duckduckgo	426	0
150.244.199.10	bing	429	0
150.244.199.97	google	432	0
150.244.199.162	bing	433	0
150.244.199.162	bing	434	0
150.244.199.172	bing	435	0
150.244.199.172	bing	439	0
150.244.199.192	bing	440	0
176.83.89.89	duckduckgo	442	0
150.244.199.97	google+bing	443	0
150.244.199.192	ask	444	0
176.83.89.89	ask	449	0
150.244.199.10	bing	450	0
150.244.199.119	duckduckgo	452	0
150.244.199.99	google	455	0
150.244.199.236	duckduckgo	456	0
150.244.199.192	ask	458	0
150.244.199.56	ask	460	0
150.244.199.164	duckduckgo	461	0
150.244.199.56	ask	462	0
150.244.199.103	google	463	0
150.244.199.103	ask	464	0
150.244.199.56	bing	465	0
150.244.199.54	google	466	0

